epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,800,2160.4,7.58,1.00e-04,1.0044,0.4022,0.4982,3.2694,0.0000,0.545794,0.1250,32.0261
1,200,2389.3,7.84,1.00e-04,1.0174,0.4571,0.4981,3.2740,0.0000,0.521384,0.1406,28.5025
1,400,2306.2,7.65,1.00e-04,1.0501,0.3487,0.4981,3.1607,0.0000,0.532863,0.1953,28.4855
1,600,2265.7,7.76,1.00e-04,1.0525,0.3253,0.4981,3.7552,0.0000,0.521910,0.1406,26.6079
1,800,2242.3,7.67,1.00e-04,1.0452,0.3393,0.4981,3.0380,0.0000,0.527589,0.0703,21.8687
1,1000,2240.8,7.66,1.00e-04,1.0330,0.3336,0.4982,3.4623,0.0000,0.569451,0.1484,36.7951
1,1200,2212.0,7.83,1.00e-04,0.9634,0.3665,0.4982,4.0388,0.0000,0.532415,0.1641,33.3825
1,200,2310.2,7.80,1.00e-04,1.2168,0.4633,0.4981,3.9694,0.0000,0.544694,0.0391,20.8532
1,400,2163.0,7.57,1.00e-04,1.0793,0.4258,0.4981,3.1258,0.0000,0.561035,0.0156,20.0357
1,600,2140.0,7.74,1.00e-04,1.0579,0.4203,0.4981,4.2085,0.0000,0.555269,0.0156,17.5949
1,800,2143.2,7.68,1.00e-04,1.1115,0.4127,0.4982,2.8103,0.0000,0.545163,0.0078,19.7278
1,1000,2176.7,7.72,1.00e-04,1.0350,0.4144,0.4982,3.6683,0.0000,0.540953,0.0547,16.0494
1,1200,2193.9,7.96,1.00e-04,1.1198,0.4018,0.4983,3.2768,0.0000,0.572227,0.0469,19.2179
1,1400,2191.3,7.56,1.00e-04,1.1243,0.4073,0.4983,2.9478,0.0000,0.545708,0.1016,24.2564
1,1600,2166.5,7.52,1.00e-04,1.2228,0.3789,0.4984,2.8818,0.0000,0.537232,0.0781,17.4209
1,1800,2140.1,7.56,1.00e-04,1.2768,0.3705,0.4985,2.8149,0.0000,0.536754,0.0547,14.3899
1,2000,2131.0,7.72,1.00e-04,1.0472,0.3678,0.4986,2.8223,0.0000,0.528381,0.0547,12.5269
1,2200,2295.8,8.42,1.00e-04,1.1159,0.4128,0.4987,1.1136,0.0000,0.540640,0.0469,14.4367
1,2400,2441.5,8.56,1.00e-04,1.1004,0.3930,0.4987,1.1372,0.0000,0.541847,0.0156,16.3060
1,200,2154.5,7.77,1.00e-04,1.1335,0.3666,0.4985,3.5247,0.0000,0.533897,0.0156,13.1071
1,400,2087.4,7.48,1.00e-04,1.1002,0.3201,0.4985,3.2805,0.0000,0.551115,0.0078,18.2747
1,600,2049.2,7.67,1.00e-04,1.1263,0.2894,0.4986,3.0989,0.0000,0.538420,0.0156,15.1677
1,800,2022.3,7.49,1.00e-04,1.1185,0.2713,0.4986,2.9868,0.0000,0.542813,0.0000,13.0240
1,1000,1994.1,7.53,1.00e-04,1.0936,0.2759,0.4986,3.0595,0.0000,0.536405,0.0000,12.9133
1,1200,1968.2,7.70,1.00e-04,1.1886,0.2803,0.4987,3.4164,0.0000,0.555072,0.0078,12.8385
1,1400,1960.2,7.48,1.00e-04,1.2192,0.2878,0.4987,2.9399,0.0000,0.527790,0.0078,11.3879
1,1600,1952.1,7.39,1.00e-04,1.1234,0.2965,0.4988,3.0215,0.0000,0.549133,0.0000,11.6350
1,1800,1944.2,7.49,1.00e-04,1.2320,0.2735,0.4988,2.8594,0.0000,0.543145,0.0000,10.5030
1,2000,1937.9,7.51,1.00e-04,1.1449,0.2751,0.4989,3.1453,0.0000,0.529554,0.0000,9.8199
1,2200,2110.0,8.42,1.00e-04,1.1099,0.3982,0.4990,1.1251,0.0000,0.526330,0.0156,18.4923
1,2400,2256.0,8.55,1.00e-04,1.1776,0.4202,0.4990,1.0878,0.0000,0.531308,0.0547,22.0664
1,200,1618.9,7.54,1.00e-04,1.3194,0.2951,0.4988,4.1167,0.0000,0.323414,0.0000,8.4217
1,400,1533.5,7.31,1.00e-04,1.2066,0.3944,0.4988,2.9403,0.0000,0.293466,0.0078,15.5750
